deity_id,deity_name,tradition,domain,primary_quality,weapon_or_symbol,animal_vehicle,relevant_heroes,story_use,notes
indrani,Indrani,Hindu — Vedic,Queen of Svarga — wife of Indra — commander of divine armies,Nurture through strength — commanding loyalty through love — divine authority that protects rather than dominates,Vajra (indirect through Indra) + divine beauty,Airavata the white elephant,karnataka (Tungabhadra),For heroes who lead through love not fear — who command loyalty by being willing to die for their people first,Airavata the white elephant makes Indrani the most direct deity reference for elephant-bonded heroes
ganga,Ganga,Hindu — Vedic,Sacred river — purification — descent from heaven,The river that cannot be owned — flows where it will — cannot be dammed forever — cleanses all it touches,Her body is the river — the current is her weapon,Makara (sea monster),andhra-pradesh (Krishnaveni) + west-bengal (Sundarvani),For river-bonded heroes — for stories of purification and unstoppable flow,Ganga also connects to the Mahabharata through Bheeshma — his mother — the river who produced the unbreakable vow
varuna,Varuna,Hindu — Vedic,God of cosmic waters — ocean — moral law,The ocean that does not apologise — the tide that does not explain itself — the sovereign of the deep who sees all oaths,Noose (pasha) + water vessel,Makara (sea creature),goa (Sagaradeva) + andhra-pradesh (Krishnaveni indirect),For coastal and water-domain heroes — for stories where the truth of the sea (that it is indifferent) is the lesson,Varuna is one of the oldest Vedic deities — predates the Puranic pantheon — his moral authority is pre-dharmic in some sense
durga,Durga,Hindu — Shakta,Supreme goddess — destroyer of what dharma cannot tolerate — the power of the divine feminine made weapon,The fierce force that does not wait for permission — the mother who becomes terrifying to protect,Trishula + sword + lotus + conch + more (multiple arms),Lion or tiger,himachal-pradesh (Himavati) + assam (Kamalavarna indirect) + chhattisgarh (Dandakarni),For female heroes of fierce protection — for the moment when protection stops being gentle and becomes absolute,Durga's connection to Mahishasumardini (slayer of the buffalo demon) is direct for Chhattisgarh — the buffalo demon and the buffalo hero are mirror images
kali,Kali,Hindu — Shakta,Goddess of time transformation and liberation through destruction,The liberation that comes through complete transformation — the dancing on the corpse — death as the ultimate teacher,Sword + severed head + skullcap + trident,None — she IS the wildness,All hero stories at their darkest moment,Kali appears in Hulmane-The-Saga as the force that a character must pass through to emerge changed — she is the furnace not the destination,Kali is also the primary dark-deity reference for many villains who invoke her consuming aspect rather than her liberating aspect
vishnu,Vishnu,Hindu — Vaishnava,The preserver — the one who sustains the cosmos between creation and dissolution,The twelve forms that maintain the universe — the deity who takes avatars specifically to restore dharma when it fails,Sudarshana Chakra + Kaumodaki mace + Shankha conch + Padma lotus,Garuda (eagle),uttar-pradesh (Gangaputra indirect) + madhya-pradesh (Dvadashashringa),For heroes whose role is to maintain balance — who hold the centre — whose power is in preservation not creation or destruction,The Dashavatara (10 avatars) of Vishnu is the most referenced divine structure in Hulmane-The-Saga — see vishnu-avatars.csv
shiva,Shiva,Hindu — Shaiva,The destroyer and regenerator — the cosmic ascetic — the dancer — the mountain — the teacher of ultimate wisdom,The destruction that enables new creation — the silence that contains all sound — the ascetic who is also the lover,Trishula + Damaru drum + Pinaka bow,Nandi (bull),uttarakhand (Kasturika) + mizoram (Tlangvala) + multiple others,For mountain heroes — for guru characters — for the moment of necessary destruction before growth — for the dance that holds the cosmos,Shiva has more forms than any other deity — see shiva-forms.csv for the full list of which aspects apply to which heroes
ganesha,Ganesha,Hindu — Ganapatya,Remover of obstacles — lord of groups — patron of new beginnings — the scribe who wrote the Mahabharata,The wisdom of the right beginning — the recognition that every obstacle is also a test — the intelligence of the elephant,Modaka + broken tusk + Ankush goad + Pasha noose,Mushika (mouse),All heroes at the beginning of their journey,Ganesha is invoked at every beginning in Hulmane-The-Saga — the tattoo system starts with a pawprint/footprint — that first mark is Ganesha's blessing,See ganesha-attributes.csv for which specific Ganesha aspect applies to which hero
kartikeya,Kartikeya / Murugan / Skanda,Hindu — multiple traditions,God of war and the divine warrior — patron of Tamil arts and mountain peoples — the eternal youth who never ages,Perfect precision in battle — the general who never fails — youth as a form of perfection not inexperience,Vel (divine spear) + Peacock vehicle as battlefield,Peacock,punjab (Panchanada) + tamil-nadu (Kurinjiselvi indirect),For warrior heroes whose precision is absolute — for Tamil heroes specifically — for the chakram as a Kartikeya weapon form,In South India (especially Tamil Nadu) Kartikeya/Murugan is the primary deity — his connection to mountains and the Kurinji flower makes him essential for Tamil Nadu
parashurama,Parashurama,Hindu — Vaishnava (Vishnu Avatar 6),The sage-warrior avatar — the one who cleared corrupt power from the earth 21 times — the axe as both weapon and tool,Righteous anger that has been patient for a very long time — and when it strikes it strikes once and completely,Parashu (axe) — meteorite iron,None — he is already the avatar,kerala (Parashurama hero directly named) + maharashtra (Shivagati indirect),For heroes who carry the weight of inherited duty — for the axe as a weapon of clearing rather than conquest,The Parashurama avatar is unique: he is the only avatar who does not retire — he still exists — still carries his axe — still training warriors. Kerala's hero is his continuation.
