attribute_id,attribute_name,sanskrit_name,domain,quality,symbol,story_role,character_archetype,notes
1,Remover of Obstacles,Vighneshvara,Clearing the path,Removes what blocks progress — but also PLACES obstacles for those who are not ready,Modaka (sweet) + broken tusk,The first puja — invoked before any new beginning,The threshold guardian — determines who is ready to pass,Heroes who face impossible blockages that turn out to be tests,The first trial of every hero's journey is Vighneshvara at work
2,Lord of Hosts,Ganapati,Community leadership,Leading the ganas — the imperfect beings who together form something greater,Ankush (goad) + Pasha (noose),Commander of groups — the one who organises the diverse,The one who makes the group function — the connective power,Heroes who unite unlikely allies — who make teams from broken people,Essential for Karnataka and Jharkhand heroes (elephant + tribal unity)
3,Supreme Leader,Vinayaka,Mastership without ego,Leading without needing to be seen leading — the quiet hand that guides,His own broken tusk used as a pen,Writer of the Mahabharata — the scribe who had no ego about the work,The ghost leader — the one who makes others great,Heroes who enable others to succeed rather than seeking personal glory,Guru characters in MahaHulmane often embody Vinayaka
4,One-Tusked,Ekadanta,Sacrifice in service of knowledge,Breaking one's own tusk to continue the work — sacrificing part of oneself to complete the mission,Single intact tusk + the broken tusk he holds,The Mahabharata scribe who broke his own tusk when his pen broke,The one who gives up something real — not symbolically — to finish the task,Heroes who sacrifice something irreplaceable to complete their duty,For stories where winning costs the hero something permanent
5,Pot-Bellied,Lambodara,Containing multitudes,Stomach that holds all experience — every grief joy memory and future possibility,Large belly + modaka sweets,The one who has digested all experience and is not broken by it,The elder who has seen everything and is still gentle,Mentor/guru characters — those who carry great knowledge lightly,The most underestimated form — wisdom hidden in the ordinary
6,Curved Trunk,Vakratunda,Indirect wisdom,The curved path that reaches what the straight path cannot — wisdom that winds around obstacles,Curved trunk probing into hidden spaces,Often painted with trunk curved to the left (unusual — drawing attention),The one who solves problems sideways — the unexpected approach,Heroes who win through indirection — Rajasthan (Mrigatrishna) most connected,For puzzle-solving stories — the trick that works when force cannot
7,Giver of Success,Siddhidata,Achievement and completion,The one who grants siddhi (accomplishment) to those who have done the work,Lotus + divine gesture of blessings,Radiant — gold — seated in full lotus,The reward that comes after the work is truly done — not before,The mentor who appears at the completion — not the beginning,This is the form invoked at tattoo level 4 — the completion form
8,Lover of Intelligence,Buddhipriya,Wisdom and discernment,Love of clear thinking — the one who rewards those who reason truly,Books + writing implements,Often depicted with a book in one hand,The patron of careful thought over impulsive action,Tripura hero (Tripurari) and scholars/engineers in the world,For characters who win through thinking — not fighting
9,Mouse Rider,Mushikavahana,The enormous riding the tiny,The mighty who choose the smallest vehicle — because they can ride anything and choose humility,Mouse (vahana),God of the universe riding a mouse — the cosmic joke of power and humility,The moment of deliberate smallness — choosing the humble path when you could choose the grand one,Heroes who win by making themselves small when everyone expects them to be large,For Sikkim hero (Kanchenjunga) who chooses non-violence
10,Protector of the Weak,Heramba,Fierce protection of the vulnerable,The five-headed form who protects those who have no other protector — fierce love for the powerless,Five heads + multiple weapons + lion as vehicle,Five-headed — lion-riding — fierce expression unlike the gentle usual Ganesha,The protector who becomes terrifying in service of those who cannot protect themselves,Heroes who fight specifically for those the system has abandoned,For Chhattisgarh (Dandakarni) and Jharkhand (Vanajara) — protectors of marginalised
