character_id,name,side,role,core_quality,flaw,weapon_or_skill,story_arc_type,how_to_use_in_hulmane-the-saga,villain_use,avoid
hero_01,Yudhishthira,Pandava,Elder brother / king,Absolute dharma — cannot lie even at cost of everything he loves,Passivity — his righteousness becomes inability to act when action is needed,Dharma itself / dice (his weakness),The righteous leader who suffers because the world is not righteous,For heroes who hold a kingdom together through moral authority — not strength,Villains who corrupt the definition of dharma to serve themselves,Do not use for active combat heroes — Yudhishthira does not fight first
hero_02,Bhima,Pandava,Second brother / warrior,Unstoppable physical power + fierce loyal love + inability to tolerate injustice,Rage that can become uncontrolled / underestimated intelligence,Kaumodaki mace + raw strength,The protector who breaks when those he loves are harmed,For heroes with berserker-adjacent powers — Bihar (Vajramukha) directly references,Villains who use Bhima's rage quality but without his love — pure destruction,Do not make Bhima-parallels cold or calculating — his rage comes from love
hero_03,Arjuna,Pandava,Third brother / supreme archer,Perfect skill + doubt at the critical moment → Bhagavad Gita,Pride in skill / paralysis when duty conflicts with love,Gandiva bow + divine weapons from all gods,The doubt-then-act hero — the Bhagavad Gita arc of recognising duty,For skilled heroes who hesitate at the crucial moment before transcending doubt,Villains who have Arjuna's skill without his Gita — pure technical mastery without soul,Do not make the Arjuna parallel obvious — let it emerge through the doubt scene
hero_04,Nakula,Pandava,Fourth brother,Beauty + loyalty + mastery of horses / medicine,Often overlooked — written out of most adaptations,Sword + horse mastery + medicine,The overlooked twin who is quietly essential,For supporting characters and secondary heroes who enable the main hero,Villains of charm — who use beauty and loyalty to serve wrong sides,Rarely the main hero — better as essential supporting character
hero_05,Sahadeva,Pandava,Fifth brother / youngest,Knowledge of past present and future / cursed to silence / quiet wisdom,Cannot share what he knows — the burden of prophecy,Sword + astrological knowledge + sword,The one who knows and cannot say — the grief of foresight,For guru characters and for heroes who know more than they can act on,Villains who weaponise prophecy — who use knowledge of fate to control others,Do not give Sahadeva-parallels easy ways to share their knowledge — the constraint IS the character
hero_06,Draupadi,Pandava,Wife of five / queen,Fierce self-respect + justice that refuses to be silenced + dignity under humiliation,Nothing — she is the moral compass of the Mahabharata,Fire herself (born from fire) / her voice / her faith in Krishna,The one who demands justice even when everyone else has accepted defeat,For female heroes who are wronged and refuse to accept it — Tamil Nadu (Kurinjiselvi) and West Bengal (Sundarvani),Villains who corrupt female power — who use Draupadi's fire to burn rather than illuminate,Never make the Draupadi parallel passive — she is always the one demanding accountability
hero_07,Karna,Kaurava-allied,Tragic hero of the other side,Unmatched generosity + skill + loyalty that is placed in the wrong alliance,Born on the wrong side — unable to change alliance even when he knows it is wrong,Vijaya bow + kavach-kundala (divine armour and earrings),The hero whose nobility is wasted because of where he was born,The villain who is actually more heroic than the heroes — the tragic figure who deserved better,For heroes who are tragically loyal to a cause that fails them — Arunachal Pradesh (Udayagiri / Karna connection),The most important villain template — use whenever you need the audience to feel sorry for the villain
hero_08,Abhimanyu,Pandava,Arjuna's son / young warrior,Courage beyond his years + entering the chakravyuha knowing he cannot escape,Youth — he knew how to enter but not how to exit,Sword + Gandiva training,The young hero who knows only half the knowledge needed — and dies for it,For stories where the hero's incomplete knowledge leads to their undoing — and others must complete the lesson,Villains who trap heroes in situations the heroes know how to enter but not exit,Use carefully — the Abhimanyu parallel always ends in sacrifice
hero_09,Bheeshma,Pandava-adjacent (bound to Hastinapura),Grandsire / the unbreakable vow,Absolute self-discipline + wisdom + the terrifying cost of an unbreakable vow,His vow of celibacy and loyalty to Hastinapura blinds him to choosing dharma over duty,Amba's arrow (the only thing that can kill him) / Shantanu's blessing to choose his own death,The elder who chose a vow over his own humanity — and watched the world burn for it,The ancestral figure who is wise but bound — cannot act as they know they should,Guru characters who cannot fully help because of a prior commitment or vow,Never make a Bheeshma-parallel villainous — they are tragic but they are fundamentally honourable
hero_10,Vidura,Pandava-adjacent,Minister / dharma-speaker,Speaking truth to power even when it costs everything — quiet moral courage,Powerlessness — he always knew and could rarely act,Wisdom itself,The one in the court who always speaks the right thing and is always ignored until too late,For secondary characters who see what is coming — the advisor the hero doesn't listen to early enough,Villains who have Vidura's intelligence but use it to further injustice rather than oppose it,The Vidura-parallel must never be the main hero — they are always adjacent to power
hero_11,Kunti,Pandava,Mother of Pandavas,Sacrifice that is never acknowledged — giving up everything for her sons' future,A secret she cannot share (Karna) — love that cannot be expressed for strategic reasons,Surya mantra (sun god's boon) / her suffering,The mother who holds the family together through impossible sacrifice,For elder female characters — maternal mentors — the ones whose sacrifice drives the hero,Villains who are Kunti's shadow — who sacrifice others for their own children's gain,The Kunti-parallel always has a secret — a truth they cannot tell
hero_12,Gandhari,Kaurava,Mother of Kauravas,Blindfolded devotion — choosing to experience her husband's world,Her blind love for her children leads her to excuse what she should have stopped,Bandaged eyes that become literal blindness / her curse on Krishna,The one whose love becomes enabling — who could have stopped the tragedy and chose not to,For villains' supporters and enablers — those who love wrongly,Rare hero use — only for heroes who must face the consequences of loving the wrong cause,The Gandhari parallel always faces the consequences of their enabling
villain_01,Duryodhana,Kaurava,Prince / main antagonist,Absolute conviction of his own righteousness — not evil but deeply convinced he is right,Pride + inability to admit mistake + the point of no return he keeps choosing,Mace (Bhima's equal) + kingship,The villain who sees himself as the hero of his own story — and is not entirely wrong,Primary villain template — every major Hulmane-The-Saga villain should have this quality of self-righteous conviction,Central — this IS the villain template,Never make Duryodhana purely cruel — his tragedy is that he had real claims and real friendship
villain_02,Shakuni,Kaurava,Uncle / manipulator,Genius-level intelligence weaponised by real historical grievance,The grievance that consumed the person — he is entirely right about the wrong but entirely wrong about the response,Dice / words / manipulation of others' desires,The manipulator whose brilliance destroys more than it saves,For secondary villains who work through others — the advisor who corrupts,Primary villain template for intelligent manipulators,Never make Shakuni simply evil — his hatred of Hastinapura is justified. The injustice is real. The method is wrong.
villain_03,Ashwatthama,Kaurava-allied / cursed,Son of Drona / immortal bearer of a wound,Grief that broke his moral compass — every atrocity he commits comes from love of his father,The grief that became revenge that became something he can never take back,Brahmastra (the most destructive weapon) / his immortal forehead gem,The villain who went too far and cannot come back — and knows it,For villains in their final stage — when they have committed something they cannot undo,The immortal villain who wanders the world carrying the weight of what they did — the Void Maw echoes this,Most tragic villain — never use Ashwatthama as a character who doesn't know what they did
villain_04,Jayadratha,Kaurava,King of Sindhu,Opportunism — taking advantage when the real warriors are away,Cowardice disguised as strategy — he never fights fairly,Boon from Shiva (held Pandavas for one day),The minor villain who gets a moment of power and uses it cruelly,For side villains and local antagonists — the ones who exploit a gap in the hero's defences,Secondary villains — regional antagonists,Never give a Jayadratha-parallel a heroic death — their arc ends in exposure
villain_05,Dushasana,Kaurava,Brother of Duryodhana,Blind loyalty that requires no thought — following without question,No capacity for independent moral thought — complete capture by loyalty,Strength / cruelty / lack of restraint,The enforcer — the one who does what the main villain cannot do themselves,For villain lieutenants — the muscle behind the plan,Secondary villain template for enforcers,Never make Dushasana interesting — his role is to be the act the audience cannot forgive
neutral_01,Drona,Kaurava (forced),Guru of all warriors,Supreme mastery of the warrior arts — teacher of both Pandavas and Kauravas,Loyalty to the hand that feeds / turning his student into a weapon against dharma / Ekalavya,Brahmastra knowledge / supreme archery,The guru who failed his dharma — who taught power without wisdom,For guru characters who have betrayed the dharmic duty of teaching — the warning of what a guru must not become,Villains who pervert the student-teacher relationship — who teach for control not liberation,The Drona-parallel always has an Ekalavya — someone they denied what they deserved
neutral_02,Krishna,Both / neither / beyond,Divine charioteer / counsellor,Infinite wisdom + the willingness to let others choose freely + the paradox of divine intervention,He appears to not act while orchestrating everything — the divine cannot be fully understood,Sudarshana Chakra + flute + the Bhagavad Gita itself,The guide who gives perfect counsel and lets the hero fail if they don't hear it,For the cosmic force behind the story — the unseen hand — the Void Maw arc is Krishna-in-reverse,Not a villain template — but Kali Yuga versions of Krishna appear as figures who give the right counsel for wrong ends,Never make Krishna a character who CAN be fully understood — he must remain partly beyond
