State ID,State,Region,Kingdom Name,Ancient Weapon Name,Ancient Weapon Type,Ancient Weapon Ability,Modern Weapon Name,Modern Weapon Type,Modern Weapon Ability
"andhra-pradesh","Andhra Pradesh","south","Dharmakshetra Amaravati","Vega and Tara","Twin Urumi whip-swords","Dual-blade river current technique — cutting from impossible angles like water","Storm-Vega and Nova-Tara","Smart drone-guided plasma energy whips","AI targeting whips — homing — navigate around obstacles"
"telangana","Telangana","south","Chaya-Golkonda — The Shadow Fortress","Chitra and Ranga","Twin returning throwing discs","Boomerang throw from impossible angles — always returns — strikes simultaneously","Chitra-AI and Ranga-AI","AI micro-guided smart discs with explosive return","Homing discs with micro-course-correction — recalled mid-flight — target tracking"
"tamil-nadu","Tamil Nadu","south","Sangam Tamilakam — The Eternal Assembly","Kurinji","Crescent-bladed mountain staff","Rockslide trigger — narrow pass control — high ground weapon","Kurinji Mk.II","Seismic terrain control staff","Environmental mapping — triggers controlled geological events — mountain as weapon"
"kerala","Kerala","south","Parashurama-Kshetra — The Axe-Born Land","Parashu","Great meteor-iron axe","Splits stone — parts water — the axe that reshaped geography — has memory of every battle","Parashu Mk.II","Gravity-enhanced plasma axe with orbital strike capability","Gravitational amplifier — hits harder than physics should allow — orbital backup strike mode"
"karnataka","Karnataka","south","Vijayanagara Reborn","Gajadanda","War mace topped with a bronze elephant head","Seismic strike — sends shockwave through stone floors — the sound alone breaks formation","Gaja-Ratha (Seismic Command Mace)","Vibration-frequency impact staff","Resonance weapon — matched to the frequency of different materials — shatters walls without touching them"
"maharashtra","Maharashtra","west","Swarajya Sahyadri — The Free Mountains","Vanara (Monkeys)","Climbing hooks doubling as slashing weapons","Grapple-and-slash — three-dimensional combat — enemies have no reference for where the next strike comes from","Vanara-Net Mk.II","Magnetic grapple-wire combat system","Electromagnetically-anchored hooks — swing-and-strike in urban environments — wall-traversal in under three seconds"
"gujarat","Gujarat","west","Simha-Dwara — The Lion","Simhagarjana (The Lion","Massive broadsword — too heavy for most warriors to lift","Overwhelming frontal strike — the sound of its swing alone stuns — no dodge, only power","Simha-Garjana Mk.II","Sonic-amplified plasma broadsword","Strike emits a sonic shockwave — amplified by the lion-bond — enemy formation breaks before blade lands"
"goa","Goa","west","Samudra-Dvipa — The Ocean","Samudra and Lahara","Naval cutlass and weighted wave-chain","Sea-rhythm combat — uses ship motion — chain wraps and pulls enemies overboard","Samudra-Jaal Mk.II","Pressurised hydro-lance and sonar net system","Underwater strike — sonic net disables engines — works equally in salt and fresh water"
"rajasthan","Rajasthan","west","Maru-Maya — The Desert Illusion","Maru-Maya (Desert Illusion)","Mirrored dagger and alchemical smoke powder pouch","You see her where she isn","Maru-Jaal Mk.II","Holographic projection array with mono-filament blades","Generates twelve simultaneous false targets — the real one is never the one you attack"
"west-bengal","West Bengal","east","Sundara-Vana — The Beautiful Forest","Jal-Jaal (Water Web)","Retractable spear-net combination","Net traps in water — spear finishes on land — dual environment lethality","Jal-Jaal Mk.II","Sonar-guided tidal net with carbon-fibre spear","Maps tidal flow in real time — net deploys along current path — impossible to escape once triggered"
"odisha","Odisha","east","Kalinga-Chakra — The Wheel of Kalinga","Ratha","Massive wheel-shaped chakram sharp enough to cut stone","Spinning combat style — the wheel that was once crushed by Kalinga now crushes back","Ratha Mk.II","Gyroscopic energy disc with return guidance","Gyroscopic stabiliser for curved flight paths — returns on pre-set arc — multiple in-air simultaneously"
"bihar","Bihar","east","Vajra-Bhumi — The Thunderbolt Land","Vajra (Thunderbolt)","Iron gauntlets that amplify punch force","Every blow carries the gaur","Vajra Mk.II","Kinetic-amplification exo-gauntlets","Force multiplier — converts physical energy to kinetic pulse — impact radius beyond the fist"
"jharkhand","Jharkhand","east","Vana-Agni — The Forest Fire","Vanavriksha (Forest Tree)","Enormous tribal bow carved from single sal wood piece","Single shot carries the weight of the forest — no second arrow needed","Vana-Agni Mk.II","Bio-signal guided composite longbow","Reads forest animal movement to target enemies — shot guided by the forest itself"
"uttar-pradesh","Uttar Pradesh","north","Ganga-Simhasana — The Throne of the Ganga","Dwadash-Mukut (Twelve Crown)","Twelve-pronged ceremonial war spear","Each prong channels a different philosophical tradition — the weapon argues and strikes simultaneously","Dwadash-Shakti Mk.II","Multi-mode energy lance with twelve configurations","Switches between twelve attack modes in combat — no opponent can predict which tradition it will become next"
